,review title,job title,job location,date,description,pros,cons
179,na say nothing,"JonquiÃ¨re, Qc","JonquiÃ¨re, QC","February 27, 2017",except the hiring process is very very complicated and long ©,#VALUE!,#VALUE!
180,Excellent job,Light Vehicle Mechanic,Hunter Valley NSW,"February 24, 2017",Perfect job for anyoneSuch a amazing place to workGreat learning inviroment for anyone Highly recommend Limitless opportunities to work withAlways willing to helpGood pay,Limitless opportunities,None
181,Great team enviroment,Planner Scheduler,Paraburdoo WA,"February 21, 2017",Pay good not great.Supervisors and maintenence team are great to work with.Working in Paraburdoo is made better by the friendlyness of the residents and Rio Tino staff,Home every weekend,Fly in and out twice a week
182,a financial group orientated © © Result Results,OPERATIONS & HSE MANAGER,"Conakry, Guina © e","February 20, 2017",A great Socia © © been with the advantages and inconvÃ © tages Associa © s major groups mondiaux.Une willingness © social rigor that some translate into willingness © not be attaquable.Des exciting projects but conditions Details © favorable.,#VALUE!,#VALUE!
183,Rio Tinto is one of the best company around the globe,Heavy mobile equipments Trainer or operator,Simandou Guinea canga est,"February 18, 2017",Rio Tinto make me who i am today good training on safe work procedure safe work place Rio tinto give training to literary people or to people with no experience,Yes,1 hour
184,Arrogant Management,Elecrical,Rio Tinto Cape Lambert,"February 14, 2017","Due to low parts stock and tools to do the day to day task its hard to get through a day without feeling you just want to walk out of the gate for good.Not much to learn from Rio Tinto Cape Lambert as no training is provided on new technology installed.Managements arrogance is out of this world,never interact with lower level employees and are self centered for their own benefit as money is spend on managements wine and dine instead of parts and tools to keep the place running.Hardest part of this job is doing the job as management try to make the job as hard as possible through their arroganceMost enjoyable part is clocking out every day.Last Employee people servey from 3Q 2016 show 75% of Rio Tinto employees would not recommend the company to family and friends to work at. This must tell you something!!!",None,Arrogant Management
185,"Great culture, benefits and flexibilty",Process Improvement Advisor,Perth WA,"February 10, 2017","Safety culture is a focus at RTIO and they spend any amount of time needed to stop and focus on safety - not only on site, in the CBD offices as well. My Manager was very professional and approachable and, if the opportunity arose, I would definitely work with him again. The benefits are very good and include Incentive Bonus, time off to volunteer, flexibility arrangements and excellent remuneration. They even provided fresh fruit and Nespresso Coffee pods - an easy way to my heart!","Remuneration, Benefits and flexibility",Old school management resistant to change
186,Had a great time working with the people there over the years,Mailing and printing services,"MontrÃ © al, QC","February 8, 2017","It is a great place to work, but like many large corporations, you are just a number, and sometimes your number comes up. I would go back in a heart beat if asked.",#VALUE!,#VALUE!
187,Highly professional organisation,General Manager Market Development,Brisbane QLD,"February 7, 2017","Structured, strategic company which attracts a dedicated and intellectual workforce. Needs to improve its flexibility and diversity but shows intent to do so.",#VALUE!,#VALUE!
188,Used to a great employer,Scheduler,Western Au,"February 6, 2017","a new policy to learn and adhere to each week, continuous staffing cuts even though the business make great profits.will encourage upskilling and training however, do not provide many opportunities.Management are completely out of tune with the new world.Great people to work with!",good work life balance,"Extra Hours, corporate policy, management"
190,Good Job,Specialist - Plant Shutdown Assurance,Perth Airport WA,"February 5, 2017",I am able to travel to alot of sites and meet great people and assist them in there roles.I have worked for Rio since 2006.Rio has helped me develope as a leader into this role that lets me use my Shutdown knowledge to assist many sites.,#VALUE!,#VALUE!
191,A productive and fun place to work,Business Analyst,"Johannesburg North, Gauteng","February 3, 2017","Excellent company to work for, I gained well-rounded experience in my field. The training provided is of a high standard. Work-life balance is respected.",Development opportunities,Sometimes long hours
192,A great place to work,Principal Advisor -Contract to Cash (CTC),"MontrÃ © al, QC","January 25, 2017","Great organisation to work for. Great leadership, a leader in cutting edge industrial technologies. Wonderful minds and a culture of work life balance.Safety is number one priority",#VALUE!,#VALUE!
193,Great team and work/life balance,Training Coordinator,Clermont QLD,"January 19, 2017",Although it is no longer operational Blair Athol had very effective systems and processes in place. I learned a lot through the Rio Tinto training in regards to Lean Principles - streamlining processes cutting out the fat and managing day to day activities to reduce wasted time. My colleagues were very supportive and I was given opportunities to work on several different projects. The hardest part of my job was juggling inquiries from several areas but this was also the most enjoyable part as it allowed me to forge strong working relationships with all areas of the business.,great work opportunities,high turnover
194,Great Place,Administrative Assistant,"South Jordan, UT","January 18, 2017","Great place to work. Not very stable, always threats of layoffs hanging over your head. The pay and benefits are great. Worked with great people at Rio Tinto.",#VALUE!,#VALUE!
195,Safe enjoyable workplace,Haul Truck Operator / Train Operator,Brockman 2,"January 16, 2017",Safety pre start meetings allocated work stations always learning from others respect management opinions worked well within team enviroment or individually,saving money,being away from family
196,Great company,Contractor Management,Western Australia,"January 16, 2017","Learnt a lot and was supported. Great family lifestyle, two boys grew up in a mining town, and would do it all again. gained valuable Supervisory skills and completed my Cert IV in Frontline Management",#VALUE!,#VALUE!
197,The The culture of Rio Tinto is great and averyone I worked with was amazing.,Community Relations Superintendent,"Guinea, Conakry","January 11, 2017",Typical day at work: When you meet your objectiveWhat you learned: Safety and ManagementYour co-workers: committed and hard workingThe hardest part of the job: Community grievancesThe most enjoyable part of the job: safety pause,Exellent safety measures,Too many procedures
198,Very informative,Work Placement,Paraburdoo WA,"January 10, 2017",Working with a mining company is always going to be exciting as the equipment is sooo up-scaled. There are many benefits of working in the industry and it opens many doors for further employment.,#VALUE!,#VALUE!
199,aluminum smelter,OpÃ © tor heavy machinery,"Shawinigan, QC","January 9, 2017",OpÃ © ra © machinerie with 63.milies times with backhoe and skin but © Canique,#VALUE!,#VALUE!
200,The Pilbara is a great place to live with an awesome outdoor lifestyle..,Electrical Maintainer,Cape Lambert WA,"January 6, 2017",I have found my time at the Shutdown Crew very challenging with respect to the work ethic of some employees and the acceptance of the bullying and harrassment culture within some team members. Overall it has been a good experience to learn what I have picked up whilst being here for almost three years. For the past twelve months or so I have found it slightly unrewarding and repetitive. Its not often I get the chance to do work with my tools and have a hands on approach to work we undertake. Alot of the work we do now is mainly to apply isolation permits and basic inspections to the plant and machinery.,Weekends off with the wife and kids.,Not enough time on the tools doing my trade.
201,great place,Fitter/Rail Car & Locomotive Recovery,Karratha WA,"January 5, 2017",Great place management spot on top place to work for very hot I like the heat and working as a team 8 and 6 roster was good gave you heaps of family time etc,#VALUE!,#VALUE!
202,Always looking over ones shoulder to see if you may be the target,Serviceman,Pilbara Mining Centre WA,"January 5, 2017","My experriance is, If you want to succeed working for Rio you must be a yes man, and try be part of the purple circle. Most will not understand what I've written, but all miners will.",Very few,All depends on the quality of your managers
203,Very Bad employer,SAP Senior Specialist Integration,Canada,"January 4, 2017","Rio Tinto only cares about money, lots of people die every year in that place and they care about their devoted employees! The hours are very bad more than 60 per week without compensation!",world wide company,Only thinks about making money
204,Security,Mine Operator,Weipa QLD,"December 30, 2016",Heavy vehicle operator on a 4 on and 4 off roster. This includes 12 hour shifts. Repetitious work all year round in a relative safe workplace. Relatively easy job but working long hours. Enjoy the fishing on days off. Back and neck pain resulting from the nature of work.,Skilled in operating Heavy machinery,Long hours
205,Discrimination against non-Quebec born employees,Sourcing/Procurement Analyst,"MontrÃ © al, QC","December 30, 2016","Excellent company to work, however, in Quebec the meddle to low management is extremely racist and protective against non-Quebec born employees. Even highly qualified professionals born outside of Quebec will have very low chances to grow in the company and will have difficulties to be hired and maintained in their positions.",Highly competitive salaries,Prejudice against non Quebec born professionals
206,Good local place to work,Maintenance Fitter,Gladstone QLD,"December 19, 2016","Good local place to work with a good family roster , monthly pay is hard and would be better with the option of regular overtime",Great family roster,Monthly pay
207,Demoralised & Miserable overpaid workforce,Systems Technician,Karratha WA,"December 19, 2016","uncompromising heavy handed management style,they insist its all in the name of the Safety , but really just BS .lots of examples in the FIFO world of not being flexible enough to allow it to be a nice place to work.",Pay,"Long Hours, Bullying and Harrassing common, ugly place to work, poor facilities"
208,Bad work environment. Salary trained to hate hourly workers.,Instrumentation Electrician,"Boron, CA","December 18, 2016","Salary are trained to be unfriendly with the hourly workers. The company is willing to spend millions of dollars just to prove that they don't need the hourly workers. They locked out 600 hourly workers for 4 months. They locked the workers out at the end of the month so that they would have no medical insurance because it only last to the last day of the month. They constantly fire hourly employees and when they think they might lose the arbitration, they hire them back with no back pay. They write up hourly workers for using sick leave, and threaten to fire even if the employee has an excellent attendance record. These are not lies. This is true information. I watched it with my own eyes.It used to be a great place to work until corporate got involved into the day-to-day operations and started micro-managing the Borax mine.",Good Pay,Most satanic work environment I have ever seen.
209,on call technicians,Mechanical Electrical Instrumentation Technician,"Magna, UT","December 16, 2016","get a call on radio go fix or find out what the problem was, fix it, then wait for the next call.expect the expected, co- workers pick on me, working with them, fixing the problems.","money, on the job training","Coal power Plant, internship."
211,Excellent company at all Ã © respects,Project Manager,"Sorel-Tracy, QC","December 16, 2016",managing multiple projects in an atmosphere Agra © ble of work,salary,no
212,my 6 years at Rio Tinto,"Train examiner, Yd driver, Acting yd supervisor",Cape Lambert WA,"December 10, 2016","Rio Tinto is a great place to work, would come to work, and process and prioritize our work load for the day. would assist other collegues new to the industry. Would shunt ore cars in/out drive trains and set up dumpers. Would also perform train maintenance. as a supervisor I managed the logistics of the yard, and crew. the hardest part of our regular days would be the heat, as I have done many courses on heat stress, I know how to manage heat stress.",#VALUE!,#VALUE!
213,excellent business,Project Procurement Manager,"MontrÃ © al, QC","December 5, 2016",Men and women worldwide exceptionsOrganisation well structured ©,#VALUE!,#VALUE!
214,SÃ © curitaire,MÃ © stationary mechanic,"Havre-Saint-Pierre, QC","December 4, 2016","Workplace stay © curitaire as mÃ © mechanic welder, I perform several tasks ¢ been very © annuities differ from each other.",#VALUE!,#VALUE!
215,Educative with leaders,Senior Internal Control Officer,Other,"November 23, 2016",Rio Tinto was a great experience. It helped developed my knowledge and skills right after college. I spent 5 years working for that company. The management had a lot of tools in place to help with our development.,#VALUE!,#VALUE!
216,Excellent Job,Mobile Maintenance Superintendent,"Yellowknife, NT","November 22, 2016",Is an excellent company but the economy is putting stress on it. I have enjoyed my time there but unfortunately need to move on due to market conditions.,good benefits,The market dictates the stability
217,Great Place to work,Mechanical Engineer,Perth WA,"November 22, 2016",Great Place to work. However the career advancement is slow. people tend to vie for the same projects. A lot of improvement opportunities,#VALUE!,#VALUE!
218,Finance group and production plants environment,Senior Financial Analyst,"Salt Lake City, UT","November 20, 2016","This used to be a great company to work for but the last couple years the management has gotten worse and worse. Nearly every person I worked with had close to their 300 hours of accrued vacation because they never had the time to take any vacation. The only good thing about the company now is the pay, but the way front line workers and non management workers are treated is awful at the Kennecott/ Utah location. I worked there over six years and i went through 7 different layoffs. No one feels like their job is secure and if you are American you can almost guarantee you won't ever make it to any management or leader position. And they promote incompetent people to management positions that don't care how over worked everyone else is and don't know how much time everyone is putting in. The worst part is Kennecott produces the best most accurate production and cost forecast across Rio Tinto but is constantly being told they have to make up for all the other groups failure to meet production and cost goals.",High pay,Incompetent managment
219,excellent place for job,Procurement Assistant,Northern Mariana Islands,"November 14, 2016",Excellent place for job and carer growth .There are followed world class safety masers for all employee and work force.They are maintained similarity with employee and workers.,#VALUE!,#VALUE!
220,Good work/life balance due to 8/6 working roster.,"Heavy Duty Diesel Mechanic, MEM Workshop",Brockman WA,"November 14, 2016",Great place of work with a good work/life balance available. Opportunities to up your skills were always available. A great bunch of people to work safely and productively alongside.,Work/life balance,Repetitiveness of tasks.
221,Large global corporation,Administrative Assistant,"MontrÃ © al, QC","November 10, 2016",Rio Tinto is a large global company. Very interesting interaction globally. Executives are easily approachable and the respect is given to all staff no matter what level.Work/life/balance is very important however very difficult to apply.,#VALUE!,#VALUE!
222,Great company to work for,Process Technician,Gladstone QLD,"November 5, 2016","Rio tinto was the best job I had, great work life balance, exceptional benefits and great wage, my issue was with the site I worked at, but as a company I can't fault them",everything,yarwun site
223,"Pleasant working environment, excellent benefits, possibility of promociÃ²n, excellent balance of work and personal life.",Human Resources Advisor,"Miraflores, Lima","October 29, 2016","Each dÃ¬a is a constant learning to new situations and interesting challenges. A company that diÃ² me the opportunity to grow personally and professionally both at Area of ??AdministraciÃ²n and GestiÃ²n Human and People Resources, with excellent organizational culture. Security is a linchpin for all employees, the worker is what? S important for the company. Culture open for comunicaciÃ²n with lÃ¬deres, board and general management. The teams of each REA work with responsibility, respect, integrity and work equipo.Dado the project is located in the province of Chota, Cajamarca Querocoto District is a difÃ¬cil access path. Is difÃ¬cil face incidents that could have happened to our companyâ ± eros. There is however possible promociÃ²n job security is not entirely safe. We face several reorganizations during the 8-year Ã¹ltimos me s ± os.Lo that gustÃ² me is the importance of pesonas for the company, constant support to the worker in Ã¬ndole different situations such as support professional growth, support in situations risk to the health of the employee or a family member, the security evaluaci daily and constantly and empowering the employee to stop an activity if risk.","Madico EPS insurance covered 100% alimentaciÃ²n vouchers, opciÃ²n purchase of shares, classes INGLAS",Copper prices worldwide plays against the company.
224,great work culture,Open Crane Operator/ Heavy Haulage Driver,I HAVE co ogina,"October 29, 2016","despite the fifo and missing out on things, the work crew where i am are fantastic.12 days are easy to get used too, feeling part of a team makes being away from home a lot easier.",#VALUE!,#VALUE!
225,Excellent company to work for,General manager,Rio de Janeiro - RJ,"October 18, 2016","Company with £ atuaÃ§Ã global very strong culture and respect for Staff, clients and ""stakeholders"".",Best company that already worked,S lengthy times DecisÃ?es
226,Easy to work with,Team Lead in the Copperfield Truck Shop,"Bingham Canyon, UT","October 10, 2016",I love working for Rio Tinto but I need to continue with my career path and goals of achieving the heist management position I can. Most employees are awesome to work with and easy to get along.,4 day roatation work schedule,Low opertunity to advance
227,Ok place to work. Very political though.,Maintenance Support,"Salt Lake City, UT","September 28, 2016",I worked for Rio 9 years and when American management was in place seem to be a lot better but now the foreign management is in there they don't think very highly of Americans. They also get knee jerk reactions when metal prices start to fall a little bit and threatened layoffs and cuts. The work was good real hot and dirty in the plant I worked at but they provided uniforms and Boots which made it nice. The constant threat of layoffs and cutbacks made this place not worth working out anymore so I was basically forced out.,Good pay and bennies,"Constant threat of layoffs, not very honest, foreign management disslikes ameicans"
228,Its a goop place to work,Survey facilitator,"Phalaborwa, Limpopo","September 24, 2016",I had fun learning and working there.the staff there is very professional .the supervisor waa very patient and was willing to show me the ropes on things i didn't understand at first,Free lunch,None
229,safe company,"2IC, Step Up Supervisor, Trainer Assessor, Driller",Brockman 2,"September 23, 2016",a safe and secure company to work for .Family orientated and employee conservation based.Sometimes a bit too much into person life.,#VALUE!,#VALUE!
230,Both companies great to work for,SAP Master Data Specialist,Utah and Mongolia,"September 23, 2016",Both companies encouraged and supported the growth of their employees. Cutting edge technology was used. They viewed the employees as their number one asset.,#VALUE!,#VALUE!
232,Awesome place to be!,Leaing Support Officer,Nhulunbuy NT,"September 21, 2016",I am thoroughly enjoying my work here. My boss is very supportive and I have gained much experience in legal work. The best employer I have worked for so far.,#VALUE!,#VALUE!
233,Strong and sturdy company,Rail Construction/Maintenance Worker,Karratha WA,"September 21, 2016",Enjoy the high amount of work that was provided and the involvement of workers high up in the work heirachy getting involv,#VALUE!,#VALUE!
234,Good place to work,Superintendent Maintenance,Gladstone QLD,"September 20, 2016",Sometimes the workplace culture is misaligned with the corporate rhetoric. The company is well managed at corporate level but individual assets are at times neglected,Good benefits and care when in poor health,Restructuring due to commodity price decline
235,Rio Tinto was a great company to work for,Administration Officer,Wickham WA,"September 18, 2016","Administration work with Rio was very busy looking after 3 superintendents and 180 employees. I learnt that I can work well in a busy environment, meet deadlines by prioritising and being diligent.I loved working in a great team environment. The hardest part of the work was the ad hoc random work that needed to be done along with the core tasks; this could be very character building by challenging you to make choices on task priority.The most enjoyable part of any job is getting the work done well first time on time and go home at the end of the day knowing that you have done well.",Working for a great company,Training in some skills was a bit lacknig
236,Terrible employer,Contract Administrator,"Salt Lake City, UT","September 18, 2016","Its a poorly managed company, loses tons of money and treats its employees badly. I personally left on stress leave as did others. They import management from England and Australia which are places that allow management and conpanies to treat employees in a bad way. Do not recommend this employer.",salaries are above average for some,employees treated badly
237,Proffesional Experience,"Station Hand, Safety Representative",Tom Price,"September 18, 2016",Large scale corporation which operates across a multitude of operations has been an eye opening experience. The intent of the company to keep their workers safe can not be questioned given the difficulty of the sheer size and numbers involved,#VALUE!,#VALUE!
238,Rio Tinto is a terrible company to work for,Plant Operator,Pannawonica WA,"September 11, 2016","The mining industry is one of the most horrible industries to work in , the culture of alcohol and bullying and discrimination is out of control . I worked in this industry for almost 30 years and will never return no matter how much they pay .",great pay,it wrecks lives
239,My time with Rio Tinto was a positive experience,SAP Master Data Specialist,"Magna, UT","September 6, 2016",Rio Tinto is a great placc to work at. The company provides development opportunities for their employees. International assignment in Mongolia greenfield copper mine.,#VALUE!,#VALUE!
240,Good work ethics,Training Officer,Robe Valley,"September 5, 2016",Very safety focussedThe need to review assessment process Management team goodCo-workers self managed their teamsHardest part too many meetingsMost enjoyable part was training the On Job Trainers,Family friendly roster,2 hour bus trip to and from the airport
241,Large Corporate Company,Maintenance Supervisor,"Copperton, UT","August 24, 2016","Promoted fast as an hourly member, but once I made it to the salary ranks my progress was stinted by others due to their lack of ability to promote the right person for the job and not just who was next in line. Management changed to frequently and the lack of direction was hard with all the constant changes. Overall a great company as far as pay and benefits, but I wanted more in ways of career advancement.",#VALUE!,#VALUE!
242,Great place to work,Advisor External Relations,"Chhatarpur, Madhya Pradesh","August 15, 2016","A great company to work with which works on its guided principal of Accountability, Respect, Integrity and Teamwork. One of the worldâ€™s largest mining and metals companies, which believes in sustainable business depends on ability to deliver long-term value to everyone. There has been great learning experiences with the Senior Leadership team driving the Bunder Project located in one of the backward areas of bundelkhand. The management gives independence while carrying out duties and at the same time guides on the mistakes that one can do.The co-workers are great and are like close family, we collaborate with each other to attain organisational objectives",#VALUE!,#VALUE!
243,Business development,Director / Operations Manager,Mozambique / Fance,"August 12, 2016",Enjoying business development activities and improving the business.Participating to the development of the local communities.Finding new ways of partnering to grow the business.,#VALUE!,#VALUE!
244,Gym and fitness just what i wanted,Fly in Fly Out,Paraburdoo WA,"August 9, 2016","My first day I arrived I could NOT sleep because I didn't want to be late.I learnt certain ways how to clean and not to put bacteria or germs anywhere.fast management and get everything done before all the workers come home.My Co-Worker was really stricked and everything had to be perfect which was fine with me, I don't mind learning different ways. but getting to know her was great. whole new person off work.The hardest part of the job was to wake up 4am in the morning every single day without a break for 2 weeks straight until you have your week off.Enjoyable part about working with Rio Tinto was all about meeting new people and knowing I can do anything I put my mind to.","free breakfast, lunch, dinner and more",12 hr shifts and early starts.
245,Good place to work,"General Manager, Finance Coal",Brisbane QLD,"August 9, 2016","Challenging interesting work, in a tough market, the work days were long, however the work was rewarding.Business going through a considerable downsizing following a series of mine divestments and a Group wide restructure, which was triggered following the announcement of the retirement of the then incumbent CEO.",#VALUE!,#VALUE!
246,Great place to work.,External Affairs & Communications,"Washington City, DC","August 9, 2016","Gained valuable experience working at a fortune 100 company and along side various government agencies, international organizations, and different trade organizations.",#VALUE!,#VALUE!
247,Great background,Facilities Manager,Guildford,"August 3, 2016",This where I learnt how to be a Facilities Manager having moved over from the Research department. In the first year I had to organise the first of the relocations I had to oversee,Lots of Benefits and Job Staisfaction,Being made Redundant
248,Productive but reserved in certain areas,Driller - operator,Brockman WA,"July 28, 2016",Work place safety is number 1 but advancement is low. Would be nice to have advancement opportunities and training readily available,Work benefits,Low pay
249,Exciting challenge with the opportunity to inject and add value to the business,Parts Coordinator-Mobile Equipment & Maintenance,Tom Price WA,"July 28, 2016","Developing, understanding, and implementing robust systems ensuring part availability for production operation for the business was exciting and challenging. Love building relationships and networking, providing and or inputting constructive ideas to staff. Love working with people and overall management and co-workers were greatLoved identifying, planning, and implementing developments in order to close gaps, cost saving to the business unit.The hardest part of the job was the management of staff personalities rather than the actual job. Love a good challenge.To know I put systems in place for anyone to be able to pick up and know what to do in my absence was a great feeling. Saving the company a ton of money was the icing on the cake. Great feeling.",Great benefits and management very supportive to the voluntary work I did.,Would like to have done rostered duties rather than 5 & 2. For e.g. 14 days on 14 days off.
250,Production driven,Equipment Operator/Labourer,"Kitimat, BC","July 22, 2016",Shift work with rotating 12hr shifts Heavy machinery with 1950s technology aluminum production. Highly hazardous materials but great emphasis on safety,#VALUE!,#VALUE!
251,fast pace work environment.,Operations Supervisor,"Kitimat, BC","July 22, 2016",Senior management promotes the idea of us vs them (management vs workers) this makes the work environment on a daily basis extremely depressing and counter productive.,Good pay,bad management
253,Very laid back,Shot firer / assistantship shot firer,Pilbara WA,"July 11, 2016","Prestart ,Task allocation,Log and Load Shots,Blast area clearances then Fire Shots this is repeated daily. When we arent blasting we are operating other equipment like dump trucks loaders or water carts",#VALUE!,#VALUE!
254,stimulating work environment.,Area Manager-Project OBP,"MontrÃ © al, QC","June 14, 2016","Journée © e long and very busy © eJ'ai learned was born © negotiate with differ ent officials of transaction © © ration Appearance Agra © most reliable: the availability © s and cooperation of the people of transaction © ration.Pas really difficult part, considering my options is © rience in opÃ © ration.",#VALUE!,#VALUE!
255,"Busy, Challenging and Rewarding Role",Service Desk Officer,Perth CBD,"June 12, 2016","At Rio Tinto, I was able to development my skills while working in a well-structured, supportive and enthusiastic team. I was able to assist with changing and modifying the roles and created new ones, also with building and introducing new systems. Provided support to both site and other parts of Rio Tinto including: Dampier Salt and Argyle.","Busy, well-structured environment with enthusiastic team",Denied assistance with certificate 4 development
256,Good company to work for with loads of benefits!,Buildings & Grounds Crew Leader,Weipa QLD,"June 7, 2016","Busy workplace organising staff, planning required maintenance works. Safety is a high focus of the business & the most challenging thing about the role was having time to perform safety interactions with team members in the field whilst conducting their day to day activities.Great team of co-workers that supported me and each other. The best thing about the job was we all got on well in & outside of work.",#VALUE!,#VALUE!
257,productive,Training officer/operator,Tom Price WA,"June 6, 2016","good all round Company,that look after their employeesdiciplined employees when necessarybut were fair i would work for Rio Tinto again",bonus on top of salary,working Christmas day was a day in lei its been removed
258,Excellent Company to work for,Materials Controller,Tom Price WA,"June 3, 2016","Typical FIFO work, Installing multiple bores for the production of 10 pump stations. Co-workers excellent, food and accommodation excellent and very well managed. The most important part of the job relaxing in the wet mess and having a nice barbecue with your co-workers after a goods days work.",Excellent Working Conditions,#VALUE!
259,Journée typical © e,Supervisor,"Havre-Saint-Pierre, QC","June 2, 2016",By Train at the minerencontre managers to balance quartprÃ © Repair goals of the day © Ã © eDispatch of equipments with employees © © stransporter the employees of the mine to the Ã © quipementsprogrammer the computer for the quarter followed on field goals,horraire with rotation,Take the train to and from the mine
260,good working team,Fixed plant fitter at Argyle Diamond Mine,kununurra wa,"May 31, 2016",rebuilding screens and maint on all parts of the mine.from one month long shut downs to two day shuts the work 'was fun but hard and hot work.,free food and rent,long days and a hot climate
261,"Good company, global opportunities","Major Projects - Manager, Procurement & Contracts","Salt Lake City, UT","May 22, 2016","Mining industry is cyclical; so as expected it is lean during downturns, and very good (global) opportunity during good times. Strong procurement organization to support the operational business needs on a global, regional, and local level. Also a independent major capital project group focused upon expansion and growth projects.","challenging opportunities, good benefits",Cyclical nature (up and down) of the mining industry
262,Meeting targets and achieving goals.,Fixed plant mechanical supervisor,Brockman / Nummuludi Pilbara WA,"May 17, 2016",Eliminating down time and getting the plant into production with motivated team members in a timely and safe manner to meet our required production targets. The most enjoyable part of the job is making the plant run effectively with no breakdowns.,#VALUE!,#VALUE!
263,Good benefits.,Mobile/Fixed Plant Operator,Paraburdoo WA,"May 16, 2016","Very busy plant to work at, Days are organised well with maintenance and production requirements. Had a great team that was there when you needed help.",#VALUE!,#VALUE!
264,Great union job for our region,Janitor,"Boron, CA","May 14, 2016","In my opinion this is an above average experience, but I hear a lot of people who miss the Old Days, when it was US BORAX.I get that, but honestly it could be said by most companies today. I came from the real world, with those who hadn't worked at the mine since highschool. I know there are few areas with a lot!!!!!!of overtime but some love that. Not me, but I don't have it. I hope to retire in the company.",#VALUE!,#VALUE!
265,Excellent work place,SENIOR INFRASTRUCTURE ENGINEER,"MontrÃ © al, QC","May 12, 2016",I have nothing negative to share.amazing environment full of friendly people and the management is very transparent and fair.,#VALUE!,#VALUE!
266,"Working environment © curitaire living, productive and nice © able.",OpÃ © tor of Ã © mining equipment surface,"Havre-Saint-Pierre, QC","May 6, 2016",Las stay © © curita at work is a very important part in the culture of the company and is reinforced on a © e © es Dispensa quotidienne.Les training base business allowed me to Acqua © er expertise born © necessary Ã ¢ been mastering the tasks of transaction © tor of Ã © quipment surface mining.,#VALUE!,#VALUE!
267,average,Stores person,Brockman WA,"May 2, 2016","driving bus, truck, forklift, stores, helping out wherever needed, getting up at 3.45am etc. enjoyed meeting lots of new work mates, enjoyed staying at various locations.",money,life style
268,mining is cyclical,Finance Manager Copper & Coal Projects,"Salt Lake City, UT","May 2, 2016",good company but it is cyclical and staffing levels follow the cycle. Good in the good times. Difficult in the down times.,#VALUE!,#VALUE!
269,Last Job Summary,Project Officer - Supervisor,Perth / Pilbra,"April 29, 2016","Design and development of plans to prepare the projects and ensure timely execution with values of up to 1.8 billion US ï‚§ Management, delegation and overseeing all contractors and staff on the project â€“ up to 60 at any given time ï‚§ Sound capabilities to complete all associated reports and all complete required administration tasks ï‚§ Close liaison and communication with internal executive level staff and external clients and suppliers ï‚§ Assisting with staff training, inductions and development in regards to Rio Tinto systems, policies and procedures ï‚§ Primary technical support for the crew undertaking and responsible for problem solving and trouble shooting ï‚§ Ensure all process checks and audits are performed to required safety standards and reporting requirements ï‚§ Ongoing audits and monitoring of all work throughout the project to ensure compliance requirements are met ï‚§ Communication of all information to shift crew around targets, expectations, performance and any other issues ï‚§ Management of shift coordination meetings, shift hand over and ensuring all production schedules are met ï‚§ Sound knowledge in Occupational Health and Safety standards, legislation and requirements ï‚§ Reporting of all project hours â€“ disciplinary matters â€“ progress tracking ï‚§ Working with client representatives to ensure all quality control and quality assurance standards achieved ï‚§ Issuing of permits for; Hot Works, Confined Space, Working at Heights â€“ Rio Tinto Permit to Work ï‚§ Supervision of contract crew on BP Fuel terminal reinforcement of BP permits",#VALUE!,#VALUE!
270,Good place to work while I was in high school,Sr. Supervisor/ Production Coordinator,"Boron, CA","April 29, 2016",Good place o work right after high school. I learned a hard lesson when managing the service station right after graduating high school,#VALUE!,#VALUE!
271,One of the best OHS Management Systems that I've ever work with.,Refrigeration Mechanic/Safety Representative,Hope Downs 4 (Newman),"April 27, 2016","The day starts with a PSI meeting with all the crew members and Supervisor. Immediately we will be given all the jobs for the different trades. This is the time to do all the paper work required for the different tasks given, (permits, JHA, etc). Then I'll get ready my vehicle with all the tools, parts and PPE required for my tasks. I will plan and self manage my day taking into consideration location of the job, activity carried out at the job site, weather conditions and complexity of the job.",Auto self management,The effects of environmental conditions on al the assets.
272,Rio Tinto,Railways Division-Maintenance Coordinator,Dampier WA,"April 25, 2016","Role: Railways Division-Maintenance Coordinator2008Communicate and organize integration between Loco Workshops, Rail Operations, Track, Signals and Systems Teams, Enter purchasing and scheduling data into SAP R3 System, Warehousing Operations Plan and Schedule Locomotive Maintenance, Ensuring that Rail Operations operate efficiently and ensuring that the Rail Maintenance, Requests are forward to appropriate teams to ensure Rail safe working, Liaise with Train Control and Train Controllers to ensure that faults are attended to in a Timely manner to reduce production lossChecking Train Control Screen for faults and trains arrivals & departuresLog signal problems into signal Fault Data Base Log locomotive problems into Locomotive register, Enter fuel into computer; work with Yard System Controller to plan next six Hours locomotives need fuel and work plan for workshopCheck calls with signal techs from 7 mile and Tom Price Working with train drivers & workshop through radio channels Coordinate with Yard System Controller, Use of LEAN and Six Sigma Process improvement toolsTruck Driving, Manage emails, passing messages, write into hand over sheet.Co-ordinating Morning Meetings (ORE CARS, LOCO, SIGNAL & OPERATIONS)",#VALUE!,#VALUE!
274,Great Work Place,Technical Systems Specialist,"Salt Lake City, UT","April 22, 2016",This is a fast paced environment. there is always something new to learn and to. you will be working hard but feel accomplished at the end of the day. I would stay here longer if i was not being outsourced. that is part of the down economy.,#VALUE!,#VALUE!
