,review title,job title,job location,date,description,pros,cons
257,"Beautiful, Historical Surroundings",Waitress and Food prep,"Somerset West, Western Cape","February 8, 2017",If you are not prepared to work hard then don't apply. There are not many opportunities to grow but you learn every day. being able to share your heritage and smile with people all over the world makes everything worthwile,beautiful scenery,far from public transport
258,Excellent work environment,Metallurgical production operator,Venezuela Tiara Sector,"February 3, 2017","This company is a school for any worker, excellent company, can develop knowledge and skills, offering training courses, the work environment is magnificent",Labor stability and excellent salary,there is no
259,its was workable and the hours were good/workshops available and develpment to employees,drill rig operator,"Rustenburg, North West","February 2, 2017","Its was all about team work,from the management/supervisor and the workers working together to have a profitable outcomes",when we reached free safety shifts we were given t-shirts or bag.it differs from month to month,"there were some long hours caused by breakdowns, so we had to wait until they finish fixing then resume to work again."
260,"Dynamic company, with the possibility of growth, √≥timos benefits for funionario.",Estagi√°rio improved business,Ombudsman GO,"February 1, 2017","A model company with √≥tima policy and culture. During my per√odo the company, I developed focused activity to the area of ??improvement with Six Sigma projects, alcan√ßando certifica√ß√ £ Green Belt, wing © m to develop skills as a mining engineer working in the process of √°rea. the dire√ß√ £ o £ the coordena√ß√, always encouraged me, stimulating my growth. Making me alcan√ßasse a professional attitude required to padr√?es multinacional.Um a very enjoyable work, I love WHAT do I do. Despite the challenges and press√?es by the coordinator, fa√ßo with the difficulties and challenges encourage my growth.","£ Refei√ß√ the company, transportation, or £ alimenta√ß√ aid, life insurance, health plan",#VALUE!
261,Very productive,earthmoving mechanic,South Africa,"January 31, 2017","This is the company you can work for, you can rely on. They put people first, they make you feel like exactly that you're part of this company they value your inputs regardless who you or from which race, this is the company they understand that people spend more time at work than with their families and friends so they make work environment enjoyeble. Only one thing the renumerations info can't. .......?",none,"Free hospital, lunch breaks"
262,work in extreme temperature conditions,greater operator,in primary crusher,"January 30, 2017",winters work in extreme temperature conditions,"insurance, bonuses",12-hour shifts
263,It was productive and very easy to collaborate and communicate with colleagues and clients.,Mineralogist,"Crown Mines, Gauteng","January 30, 2017",Anglo American Technical Solutions is a very good company to work for. You are exposed different techniques and it sends you to attend relevant courses to your work. It looks after the employees irrespective of their levels.,Cateen,Too tight deadlines and long hours
264,It is an excellent company,Mantencion coordinator Palas,"Santiago de Chile, Metropolitana Regi√≥n","January 28, 2017",It is a very important company in the mining area gave me the chance to develop myself profesionalmenteBuenos An ideal place for leaders teamwork,Nothing,Nothing
265,excellent company to work,Engineer Full Mines,"Belo Horizonte, MG","January 25, 2017","The company has a very correct posture and be with £ Interface to the Staff, environment, and society. This was observed during my perman√™ncia in Anglo in Belo Horizonte and the √ © poca that worked in Niquel√ ¢ ndia by Votorantim and closely watched Anglo in Barro Alto",Benefits,Career path
266,very successful company.,Technical Manuten√ß√ £ o,"Concei√ß√ £ Within the Mato, MG","January 25, 2017","Company very successful, was delighted to be part of the company.",Refei√ß√ £ o the company.,#VALUE!
267,Interesting workplace,HR Officer: Admin and Benefits,"Johannesburg, Gauteng","January 23, 2017","A typical day at work involved drafting HR policies, updating conditions of employment, resolving client queries (via email, telephone and face-to-face), liaising with internal and external clients. I learned how to communicate better, handle queries with professionalism and to have the ability for confidentiality. The culture was dynamic and the environment was fast paced. Serving people can be both the hardest and most enjoyable part of the job. It is quite difficult to please everyone. At the end of the day, leaving the office knowing you have played your role in making a contribution to the organisation by assisting employees who needed help and came to you as their last hope and you have managed to resolve their issues. This gives you joy.",#VALUE!,#VALUE!
268,Overworked and underpaid,Operations Controller,Kathu,"January 20, 2017","Overworked and underpaid.The shifts we are working is killing us. We are tired all the time, and Anglo doesn't seem to care. We are treated as cheap labour.",medical and pension,impossible working shifts
269,productive,operator,"Rustenburg, North West","January 20, 2017",The company need a general meeting to meet with employees to hear their point of view on how to lift this business to a greater high.as you know very well that without the employees the company is incomplete.,no free launches,long hours
270,good experience,acting commmunications officer,GM Secretary,"January 18, 2017","excellent experience. I learnt and achieved highest goals - amazing life altering timesI was able to develop ...within limits...I gained sight into the basics of the mining industry, learnt how they survive - why they survive...why they have and are the backbone to the SA economy. I learnt to LOVE what I do...passion for the environment ....",#VALUE!,#VALUE!
271,Good working ethic,Investment Manager,"Johannesburg, Gauteng","January 18, 2017","The exposure to all levels of management and the various Boards governing the funds was excellent. The organisation had high expectations for its personnel, but the reward structure was transparent and predictable.",Caring for the staff,Long commute
272,its a great company to work for,time and attendance operator,"Rustenburg, North West","January 17, 2017","the job is enjoyable it teaches how to work and communicate with fellow colleagues, it give me more exposure to lot of things like how to deal or talk to employees who are bad moods thats the hardest part of that work",#VALUE!,#VALUE!
274,Company and good trabalho.muito environment.,Shipment of assisting the £,"Hat £ o, SP","January 16, 2017","A √≥tima company. No criticisms to make, nor Gives part ADM nor operational.",£ Refei√ß√ on the spot,Nothing to complain
275,Awesome Company to have had the privilege to be one of their employees Contracting and Permanent,Document Manager/QA,"Johannesburg, Gauteng","January 16, 2017",Start early. You can tend to urgent matters without any interruptions. Respect is earned. Treat Management irrespective as to whether you are in a managerial position and your co-workers with respect and patience. There is no such thing as the hardest part of the job unless it comes down to retrenching staff. I have always made my work day enjoyable Irrespective as to whether we are a having a good or bad day. The most enjoyable part of my work is when I have reached out the goals that I have set for the day and have been successful,Excellent Working Conditions,Long Hours of Travelling
276,Excellent,Procurement Specialist,"Witbank, Mpumalanga","January 15, 2017",I will work for the Company again on Contract basis or permanentManagement is above standard and high quality standard.The Company will assisted in advancing my career.,Benefits,#VALUE!
277,Excellent company to work for,Coordinate control of mineral resources and reserves,£ Catala or GO,"January 13, 2017",Highly qualified professionals and human and agrad√°veis people. ENABLING environment for high satisfaction £ o and professional growth.,#VALUE!,#VALUE!
278,Pressure,belt operator,mining,"January 13, 2017",we were supposed to work with target every day at standard bank and at the same time at the end of the day you have to be balanced your money should to accurate with the system.,#VALUE!,long hours
279,Excellent,maintainer electric,"Santiago de Chile, Metropolitana Regi√≥n","January 11, 2017",Perform all documents before starting any trabajo.Evaluar all riesgos.Realizar maintenances profesionalmente.Corregir errores.Informar any situation an√≥mala of record mantencion.Dejar maintaining a clean place bit√°cora.Ordenar and trabajo.Respeto and kindness with colleagues from all areas clean and pleasant trabajo.Lugares of more difficult fri√≥..Pero convivir.Lo ... the warmth is always a cup of tea or coffee © always aha.,Comfortable rooms and good casino,Cold ... very cold in winter.
280,"There was no funny day , it was all about the turn around",Snr lab tech,Germiston,"January 11, 2017",It was hard for us to work there because we were given a fixed term contracts which it was being renewed every 6 months and we didn't have medical aid nd profit n funds .,Free lunch,30 min break
281,Production Orientated,Mine Overseer,Union Mine Black Stone Limpopo,"January 10, 2017","Mining is a life, the challenges vary daily and by building a crew that is productive and positive made it a pleasure. The challenges of change in management on a regular basis made it more of a challenge as each person has his own style.",Secure environment with daily challanges,Having to ensure that you can achieve under heavy work load
282,Excellent team,IT consultant Mantenci√≥n Plant,"Antofagasta, Antofagasta","January 8, 2017","A typical day was always very dynamic, trying to react to all the needs that are being presented by various disciplines within the Superintendence of Mantenci√≥n Plant, learn a lot from a mining operation and maintenance, the direction was a deal coordial entertaining and direccionarme always trying to be my first job as an engineer and not my area of ??specialization, with my excellent colleagues relationship, basically helped me to help them, to be able to automate and simplify a lot of processes that they They were running day to day without being able to improve by the VA © vertigo of such companies. The most difficult part was going learning about maintenance issues and other areas of the mechanics who manage to achieve deb√a do a better job. What I liked most was the interaction with multiple disciplines, teamwork and compenetrado was, all pointing toward the same goal.",The work team,Many changes that produce a feeling of instability
283,Productive,Safety Representative,"Northam, Limpopo","January 8, 2017",Assisting safety officers in Auditing and paperwork. I was representing the workers to work under safety princeples. Presenting safety thems and managing risk assessment,Own lunch,8:30 hrs
284,Company DINA ¢ mica and enjoyable to work,Administrative Analyst Plenum,"Belo Horizonte, MG","January 8, 2017","Excellent opportunities for learning and professional growth,",Benef√≠cios,N√ £ o hA°
285,Satisfying,Construction Manager,PMR Rustenburg,"January 8, 2017","Typical day would be on and around the construction site doing inspections for quality purposes, compiling quality files for an hour or two per day. Not to compromise on safety or quality. Management was relaxed but strict when it came to quality. Co-workers made a good team and the work progressed according to schedule. Stopping progress if the preparation was incorrect. Job satisfaction as the plant was built seeing the daily progress.",Job Satisfaction,Security around the PMR
286,Challenging,Construction Manager,"Amandelbult, Limpopo","January 8, 2017","Typical day would include reporting back to Project Manager, assisting with project management duties, site visit to check progress, quality and contractors. Following up of orders and other administrative work. Management is challenging due to their reporting requirements and are tough on the project personnel. Co-workers are all capable people but tend to keep themselves to their areas of expertise. Hardest part of the job is the amount of reports that are required and takes up 40% of my time. The most enjoyable part of my work is the execution and hand over of a final product, great job satisfaction.",Experience over a large range of different projects within the SIB portfolio,Paper work and reports
287,nice jopb with challenges,miner,stopping,"January 7, 2017",work is very challenging need focus and that if your a person you have to follow rules of the company and the management are very welcomed people friendly co workers who are willing to to work but they need leadership mmy hardest part of my work its when my job didn't go according to my plan my enjoyable its when i am producing every day,#VALUE!,#VALUE!
288,"Target driven,safe and fun workplace",Instrument Mechanician,Rustenburg,"January 6, 2017","I enjoyed my time in all the anglo operations that I worked at. If an employee(s) perfomes well in all the key areas (ie safety,quality,cost, quantity as well as on-time delivery) this company will always recognise such perfomances especially at RBMR. The values and standards are what gorven this Company.",perfomance recognition,upredictable work hours at times
289,Company very enjoyable and good rela√ß√?es with its employees,T√ © cynical Processes,"Niquel√ ¢ ndia, GO","January 6, 2017","Company very enjoyable and good rela√ß√?es with its employees, has a very mature culture in its rela√ß√?es with society, funcion√°rios and customers.",Stability and values,Policy charges and sal√°rios
290,Hooked,Instrumentation Technician,"Rustenburg, North West","January 5, 2017","Most job seekers are of an opinion that they'd love to work for Anglo American, yep, me to.Although things happens very slow in the company, you are 100% sure of your salary and have world class fringe benefits.Best company I every worked for? Yeah!There is a culture of developing people's skills, which is good, although ZERO recognition is given to new skills gained.Management could be more assertive in making decisions.Standby's, like the rest of the industry, are very unforgiving and you should steel yourself. Yet, it is very rewarding, you will gain a lot.Safety culture is in your face, don't ever take shortcuts, keep to the rules, they are simple and non-negotiable.Best part of my job was starting up a unit that was down, it was always an exhilarating experience.",Medical Aid,Slow decision makers
291,good company to work for,Financial Coordinator - Accounts Payable and Receivable,"Belo Horizonte, ES","January 4, 2017","S√ £ o nine years of great satisfaction £ o.Trabalhar in Anglo √ © feel is valued, good working environment. Before the growth opportunities were more tang√veis today not so much. Much of the management √ © enjoyable to work with. Do the £ exists of easy or difficult work. Work should be done in the best possible way in order to have good results.",good benefits,Market Vulnerability
292,A good work environment,structural specialist,"Santiago de Chile, Metropolitana Regi√≥n","January 3, 2017","A good-performing ± or working part as a structural specialist in the area of ??mine in charge of maintenance and maintenance of shovels and perforadoras.Con a good evaluation of my supervisors, which was given the opportunity to apply for structural specialist.",medical and dental insurance,work safely and quality.
293,Primacy for quality,Professor de InglÍs,"Ipatinga, MG","January 2, 2017","√ associated company Usiminas, being installed in the same space phasic (plant) Very knowledgable Tamba © m.",sim,nothing
295,Pleasant working environment.,Copper Plant Operator General,"Hill, Metropolitan Regi√≥n","January 2, 2017","Very pleasant working atmosphere, good Tato, good administration.",#VALUE!,#VALUE!
296,Good company,Mining engineer,"Barro Alto, GO","January 2, 2017","good and s√ © ria company at it. People excelentes.Ambiente very bomAlguns barriers work by generally tradicionalismoEm, very good to work",Mine Manager,too traditional
297,People orientated,Mine Overseer,"Witbank, Mpumalanga","December 27, 2016",Good overall with people. Career path development chosen for you on PIT programme which is not ideal.Friendly working environment with a good age spectrum and opportunities for post graduates who want to stay in one commodity.Risk of becoming pigeon holed if not willing to relocate and change commodity. The career path you choose must be driven hard by the employee.,Good leave availability,Moved away from your career aspirations
298,Great Company - lots to learn - many opportunities for career advancement,Facilities & Housing Contracts Specialist,"Postmasburg, Northern Cape","December 22, 2016",Great company and place to work - the only negative being far away from friends and family.No two days are ever the same! Health and safety are top priority - Iron ore mining is a tough buiness.,Great company with benefits,Long hours and far from civilisation
299,Productive,Mine Overseer,Union Mine Black Stone Limpopo,"December 18, 2016",Start at 5h30 in morning with meeting with supervisors for the days jobs and breakdowns .Attend Meeting with Manager at 7h00 for feedback and at 8h30 Underground.The hardest part of job is when people do not do the job as planned.The enjoyable part of job it not every is the same different challenges daily,good incentive,long hours
300,Anglo American is very diversified workplace.,Safety Officer,"Rustenburg, North West","December 14, 2016","This is a one big family with a culture than can only be matched by a few. Care and respect are our core values. We have learned that as a team we depend on each other to achieve our objective - mining platinum safely and going back to our loved ones in one piece. Our management have an open door policy and we don't see them as managers but team leaders who we can interact with at any given time. Visible felt leadership is what brings them closer to their subrdinates. The co-workers are fantastic. We always make time to celebrate whatever achievement together. In terms of the hardest part of the job, seeing someone getting hurt and having to inform his/her loved ones is a nightmare. One the flip side, having a nice braai with the team after any safety achievement is the most enjoyable part of my job.",R150 christmans voucher,We are highly paid
301,A good introduction to the mining environment,Senior Geologist,Aggeneys South Africa,"December 13, 2016",A great balance of theoretical and practical application of skills learned at university. Mentorship and solid graduate development programs in place as well as hands on experience of all the aspects of the technical services and mining services provided by the company.,Safety principles a priority,Shift work
302,Good Culture,HR Officer,Npumlng,"December 12, 2016",The culture makes the company! You will learn alot as it is a very diverse company who tries to cater for everyones needs. Great benefits compared to private sector. The hardest part of my job is the travelling distances especially if you prefer the city.,#VALUE!,#VALUE!
303,Productive and fun work place,Project Manager,Limpopo,"December 10, 2016",I'm a hard working person with team spirit .communication is my management skill.I enjoy working with different kind of people. And I handle conflict well,Lunch time,Long hours
304,Productive and fun working environment,HR Coordinator,"Rustenburg, North West","December 5, 2016",Systems are well developed. Implementation is a bit of a challenge. Decision-making that is decisive is necessary. Good team work amongst colleagues.,#VALUE!,#VALUE!
305,Company with good values ??and professional √≥timos,T√ © cynical in the £ Minera√ß√,"Concei√ß√ £ Within the Mato, MG","December 2, 2016",√≥timas company with teams working in harmony. ENABLING environment for learning.,#VALUE!,#VALUE!
306,productive,semi electrician,"Witbank, Mpumalanga","November 26, 2016",I ve leant to work as team and i was self motiveted.i ve gained positive confident as i work with different people.i gained and improved my communication skills.,#VALUE!,long hours
307,good working environment,Senior truck operator extraction CAEX,"Chaa ± aral, Antofagasta","November 25, 2016",a good company culture and work safety standards,There lounge,the transfer of the bad mine casino
308,My Experience,IM SUPPORT OFFICER,Unki Mine in Zimbabwe,"November 24, 2016","Work Starts early (7am for us), target are presented as clearly as possible. team effort to attain targets and teams are rewarded for not only achieving a target but also how much a target has been achieved.",Great renunaration,very long hours (10hrs monday through Friday)
309,In a good company q ± teaches you many security settings,TRUCK OPERATOR CAEX,"Copiap√≥, Atacama","November 23, 2016","It's a nice company to work ,, and segura.Es the labor climate is good and stands out in the comradeship and good security practice.",#VALUE!,#VALUE!
310,Evaluation £ perform the standings for the professional and £ £ staff,Processing Operator 2,"Concei√ß√ £ Within the Mato, MG","November 23, 2016",Nessecita better Politics of £ Evaluation for the career path!,opportunity in √ © little job,cut benef√cios
311,World class global mining and exploration company.,SENIOR TAX MANAGER - NORTH AMERICA,"Toronto, ON","November 22, 2016","World class global mining (key markets: diamonds, platinum, copper) and exploration company with marketing channels around the world. High performance, professional approach to all aspects of the mining pipeline.",#VALUE!,#VALUE!
312,It is pleased to work in the company‚ ± ô s great atmosphere,Heavy equipment operator,Mining the metropolitan region bronzes,"November 21, 2016","It's a very good company‚ ± AA always concerned about the health and any problems that alg√∫n worker, ± company‚ ô s concerned about the environment and family life will happen",It has very good insurance © dico me to rest in the camp is very good because you can rest very quietly,Keeping track trucks which circulate in better extraction
313,Fun good working place,Cadetship (RDO),"Pretoria, Gauteng","November 21, 2016","Good communication skill from the management, loyal co-workers. the hardest part was that there was no enough time for family. Never the last i enjoyed my days at Volpes",Big discounts for staff,one day off per week
314,It is a very good school work as their mainstay is the safety of people,heavy machinery operator,"Antofagasta, Antofagasta","November 17, 2016",good shifts are 12 hours one day shift from 08 to 20 and from 20 to 08 hours with scheduled for snacks and rest stops. What makes different Mantos Blancos is that it is a pleasant and familiar task a very good laboralLo environment that I am as a person after 31 year ± os of work is learned there values ??principles to nurse and care for demasLa managerial direction is very close to worker many contests briefings safety activities etcPor is usually a team all a few diuferenciasCuando some colleague accidentaba and as a team we had together to get ahead of this event often sad for todosHaber known many friend and company‚ ± eros Glad we work together developed as people not knowing much and become a true professional in our jobs.,very good working environment,It was about exhausted ore reserves
316,Company DINA ¢ mica and enjoyable to work,£ the auxiliary produ√ß√,"Ombudsman, GO","November 13, 2016",And a company that always values ??its funcion√°rio and that is always opening new door for the growth of its employees.,#VALUE!,#VALUE!
317,its good am enjoing working with employee down there,Mine Overseer,"Thabazimbi, Limpopo","November 11, 2016",the hardest part of job (is to deal with organize labour and to change the mind set on daily basis )management (i have good work relationship with my seniors trustworth about my delivering.)the most enjoyable part of the job (executing safely profetable platinum daily.),#VALUE!,#VALUE!
318,"Good company, pleasant working environment and professional development",T√ © Mantenci√≥n technician of equipment cargu√o,"Santiago de Chile, Metropolitana Regi√≥n","November 11, 2016","I worked © in turn 4 x 4 (day, night), being part of the group 5. Conform © mantenci√≥n specialist equipment in mantenci√≥n front loaders and hidraulicas.Cada blades turn correspond√a mantenci√≥n we perform a programmed computer, in other correspondi√≥ occasions we heed the call of failure terreno.Lo more complicated work, was always labor during the winter period in climatic conditions adversas.Lo I liked it amazes me is that the company potenci√≥ the specialty of each worker, in my case, correspondi√≥ to knowledge of the mantenci√≥n hidr√°ulicas loaders and shovels.","© dico insurance methods, school aid, bonuses, incentives",#VALUE!
319,Productive,Plumber,"Kriel, Mpumalanga","November 9, 2016","I have learned a lot at the mine, not enough employees to do the work, not always working according to procedures and management doesn't care as long as the job gets done",None,Not enough employees
320,productive,scraper winch operator /stope timber,amandelbt,"November 6, 2016","Working in this company was very nice,but the Hr department they don't do their work correctly. Because I was deserted while I was on sick leave.",free energy drink,8 hour
321,My work experience,Senior Shift Supervisor,"Black Stone, Limpopo","November 2, 2016",Comfortable work environmentAlways productiveCo-Workers keen to give help where neededCan meet more agreements with salaries etc.Be fair and honest,#VALUE!,#VALUE!
322,Productiveness and willingness to achieve its goals,"Pipe,track and ventilation",Limpopo province,"November 2, 2016",Its a good company that i develop every skill and knowlegde that i have and taught me through hard work you can always achieve your goals no matter the circumstances and also how to be patient to your fellow worker.Its a good company indeed.,No lunch,Normal hours
323,Good working environment,Manager,Valpara√≠so,"October 31, 2016","It's a good company to work, there are opportunities for development, but the company is conditional on the copper market situation",#VALUE!,#VALUE!
324,To utilize my effort to these company.,Receptionist/Admin Clerk,"Pretoria, Gauteng","October 31, 2016","I will be part of team, I will put my effort to these company. I know these is the gold company security is tidy. I am hardworking person I need to be wise and be careful to my job I have to be patient. I have to understand each other in working industry.",Free lunch,45 hours
325,tranquility and disposal,Chief geologist Advanced Projects,"Santiago de Chile, Metropolitana Regi√≥n","October 27, 2016",It is a company that supports workers and their ideas. It is a company that gives tranquility and stability laboral.Que treated their workers well and colaboradores.Buenos alternative development plans retiro.Busca.,Surely methods © dico,#VALUE!
326,Vast learning experience,Mining Electrician,Limpopo Mokopane,"October 24, 2016",Has new challengesGive out safe productionIntegrityTeam-playersI want everything to be perfectInfluencing co-workers positively,Development,None
327,Normal workday as Supervisor at the plant.,SENIOR MECHANICAL FOREMAN,Black Stone Limpopo South Africa,"October 24, 2016","Start our day with Prayer with the Engineering team and have Toolbox talk.Artisans go and do walk about in their sections and reprt back to me as their Foreman,Operations Foreman gave me feedback on any maintenance to be done,we plan the jobs for the day with my team,Sit in at production meetings and after the meetingI do over inspections on the team during the day,the team report back to me in the afternoon to give me feedback on the jobs done and so do I report to my Engineer ang gave him my feedback,you feel proud on your team when they do uotstanding work and you feel proud to praise them and that they work safe at all times.",#VALUE!,#VALUE!
328,Productive and great teamwork,Mechanical Maintenance Fitter,South Africa,"October 24, 2016",Great company ano benefits experienced a different type of workplace culture and friendly people. Great training facilities and prepared to extend training if needed. Great management communication and approachability.,Great people and workplace,Angloamerican selling coal commodities
329,Productive work Place,EMPLOYEE DATA MANAGEMENT OFFICER,"Johannesburg, Gauteng","October 21, 2016","A typical day at work is when one of the co-workers comes to work with her own stress and took it out on us.I have learned the Anglo values on how to work with difficult employees and how to resolve their issues, Management of the company is a great one because of the team buildings they book for us, I work greatly with my co-workers I have received their help and I have done the same with them. The hardest part of the job is when the employee says they have send their documents to be processed on to find out they have not done that and when they requires something that they know they do not qualify it. The most enjoyable part is when we get together in the mornings to do our morning greetings before we start with our daily work.",Free Lunches,Standars working hours
330,An international mining house,SYSTEMS INTEGRATOR / INFORMATION RISK MANAGER,Johannesburg,"October 20, 2016","An interesting mix of commodities & precious metals. In recent years forced to align with modern practices to ensure survival and growth.A world leader in specific mining capabilities, specifically deep mining and marine mining.Good management practices with staff development as a important activity.",#VALUE!,#VALUE!
331,in general,haul truck operator,"Antofagasta, Antofagasta","October 18, 2016","very good company‚ ± AA generally good working environment, good dispocicion of administration.",employment stability,shift system
332,Productive place,Intern Accountant,"Polokwane, Limpopo","October 18, 2016","a typical day would be to get there and check what different managers wanted to purchase , then orders would be place to the respective companies , i learned how to work with the system they use to record information about salaries , the budget of the company and the actual numbers and with those figures predict how much money will be needed for the next year, i had about four co-workers and they were all mentoring me in their respective fields, which are purchasing, logistics, paychecks and recording of day to day expenses",free lunch and transport,#VALUE!
333,"Fun workplace, restaurant and transport officials.",Supervisor/Team Leader,Goias - Brazil,"October 17, 2016",The mainly thing that I learned was how to lead diferent people. It was a good experience to talk and met every week with all levels hierarchies of leaders.The hardest part of the job was do a management of the team with a lot of particular problems and the same time get good results to achieve the objetives that agreeded.,#VALUE!,#VALUE!
334,Company DINA ¢ mica and enjoyable to work,traffic controller,"Nacp√°, of","October 14, 2016",√ â a company that you Gives opportunity to grow professionally.,Health plan,#VALUE!
335,It was great to work for Anglo.,Section Electrician,Free State,"October 14, 2016","Unfortunately i worked for Anglo American during the difficult times of colour discrimination, though i enjoyed excellent treatment by my supervisor, i would have loved to have had more chances working myself up the ladder in the work place, but such opportunites always fell short of me, there were always industrial upheavals with the Unions and many strikes and many political issues which together with poor world markets eventually ran the company down. But i really had few opportunities to develop there.",i liked braai safety meetings management gave away.,none
337,good company,Tax Coordinator,"Rio de Janeiro, Rio de Janeiro and Belo Horizonte","October 13, 2016","Good environment.The ""sweetbreads benef√cios.Boa Politics of the £ remunera√ß√.",#VALUE!,#VALUE!
338,Productive and Safe work place,Haulage Construction AIDE/ Track Layer,"Rustenburg, North West","October 13, 2016",Work Safe every day to make sure the company reach Free injury or fatality shifts through out the year. Prodution target need to be reached every day!,#VALUE!,#VALUE!
339,Work environment.,shopping analyst.,"Santiago de Chile, Metropolitana Regi√≥n","October 12, 2016",Pleasant working environment. There is no distinction between managers and employees.,Insurance me © Physicians,Cuesta la.empresa enter without a good title
340,Fulfilling job and functions,HR Coordinator,Limpopo,"October 9, 2016",Responsible for directing and coordinating activities of Human Resources Management activities and all the applicable employee relations practices within the company operation.,Flexible working environment,Odd hours dictated by the job demand
341,"Productive,enjoyable and more career development",Acting artisan fitter,"Rustenburg, North West","October 9, 2016",I enjoyed working training and working at Anglo american...I started my learnership with Anglo American under OSD and joined Bathopele mine after I got my trade certificate..unfortunately because of other mines(Anglo American mines) got shut I was never appointed as an artisan..that is the reason why I'm job seeking,#VALUE!,#VALUE!
342,pleasant atmosphere to work. Flexible schedules,Contact Spanish teacher © s,"M√ © xico City, D. F.","October 7, 2016",In this company you can learn a lot as you can teach diverse groups with different levels.,"flexible hours, opportunity to grow",unstable work
343,One of the best Projects,Team Lead,Witbank,"October 7, 2016","Great team, great SAP HCM project. Used my skills and gained more skills in Time Management and Reporting. Had the opportunity to Team Lead changes in Policy for Skilled and Non Skilled employees. Co-workers in relation to Labour Unions at first a challenge but formed a good working relationship. The Management Team were very supportive.",Brilliant Team spirit,Traveled and stayed away from home every week.
344,Great job as it fulfilled my area of expertise,HCM Support Specialist,"Pretoria, Gauteng","October 7, 2016",Worked with a great team both in South Africa and the support technical team in India. I had the opportunity to implement areas of Time Management to meet the Human Resource Policies for mining employees. Completed and team led all the testing prior to implementation. The implementation deadlines were in some instances difficult to meet based on the technical team based in India and a language challenges sometimes occurred. These were overcome and a very good relationship was formed. It was a temporary position only based on the AAC restructure of Kumba.,Good location,SA to India time delays
345,Excellent benefits and a harmonious environment to work,Analyst Planning and Control,"Belo Horizonte, MG","October 6, 2016","An enjoyable company, good interpersonal relationships, work in a hurry £ o, but rewarding for the recognition actually arrives.",excellent benef√cios,Little £ the promo√ß√
346,very productive and challenging,Acting Section Manager,"Gauteng, Limpopo","October 5, 2016","Most enjoyable part of the job is being able to reach production and saftey deadlines.Having to work with many different people, all striving for to achieve the goals and strategy of the company as a whole.",bonuses,challenging work
347,I need a job,waremash and losing undeground,"Rustenburg, North West","October 4, 2016",I was woking at the contract under Anglo I get a retrenchment that why I'm trying to a play is the good company we work see we dilivar our promisNo sefe no production,#VALUE!,#VALUE!
348,\gfsfgfdgfzdgfgf,Assistant environment - of,"Nacp√°, of","October 1, 2016",company in which I could have the best moments of particular challenges,#VALUE!,#VALUE!
349,Productive and save working place,Laboratory Assistant,"Lydenburg, Mpumalanga","September 28, 2016",I learned sampling and evaluation course. The management was strict about productionAll people liked one another. The hardest time is when I done double job due to shortage ofstaff.,lunch is available,8 and 13 hour shifts
350,Learning and development,Training Facilitator,"Witbank, Mpumalanga","September 26, 2016","a typical day is when you run out of staff,where you need to feel all the gaps,what you will know is that you need to take it slow inspired of too much pressures from the management.The most enjoyable part is when you Flo on what you are doing knowing all the people you are working with.",#VALUE!,#VALUE!
351,Productive and challenging environment,Business specialist,"Johannesburg, Gauteng","September 21, 2016","Every day presented new challenges. You learn a lot from your team members as you work together to resolve issues and find different and better ways to do things. Management reporting is very interesting, fun and challenging since the Management teams are always focussing on diffent issues which meant we had to come up with innovative ways of presenting the information to keep up with their demands.I learned a lot about presenting information to management. The co-workers were supportive, helpfull and also always open for suggestions.The toughes part for me was keeping up with the ever expanding demand of management for information.The most enjoyable part was keeping up with the ever expanding demand of management for information because it forced you to keep an open mind and stopped you from taking things for granted",Great work environment,long hours
352,fun work place with social programmes,artisan diesel mechanic,Rustenburg South Africa,"September 20, 2016",Hard working and a team player plus willing to work extra hours in order to enhance production and adhere to sefety procedures before commencement of any work.,#VALUE!,long hours
353,Great company with great benefits.,Personal Assistant to Head of Global Shared,"Johannesburg, South Africa","September 9, 2016",Great company with great benefits. Management appreciate the views of all employees. Communication between management and staff are very good. Offer employees the opportunity to grow by offering internal and external training.,"Free lunch, 13th cheque","Healthcare not up to standard, comparing to other companies."
354,Ratio of mutual respect and lifelong learning,Communications and Community Relations Coordinator,"Moquegua, Moquegua","September 7, 2016","Excellent company with very high social, environmental and labor standards, closely identified with partners and a permanent practice of its values ??as a company and aware of their responsibility towards the community and population aleda√ ± a.",#VALUE!,#VALUE!
355,Great company with brilliant history and culture,Appointed production shift supervisor,"Rustenburg, North West","September 1, 2016",Anglo American is one of the greatest companies in any industry for anyone to work in. Not taking into account how the company took me from high school through exposure year to varsity at no cost at all and to offer the excellent work environment is amazing.,"Big company, great job security, many commodities, great give back to the community. Good benefits","Limited opportunities due to company profile, platinum price strain"
356,productive and a lot more to learn on daily basics,Loco Driver,Rustenburg,"August 31, 2016",I have been working for this company for years but no development. I have tried so many times but no hopes for me.Just wanna change for new job new company maybe things will change for me for a better future.,future life and mageu provided to workers every day before going underground,Eight hours per shift
358,Good company to work,T√ © cynical III Planning,"Concei√ß√ £ Within the Mato, MG","August 31, 2016","Developed activities in infrastructure planning fleet, loading, escava√ß√ £ o £ o.Embora Drilling is a new company in mine design © River Iron Brazil, has been highlighted by the £ preocupa√ß√ safely and with all employees.",Security value in the £ negoci√°vel,Mine difficult access
